,id,date,n_week,week_year,month_year,prod_0,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9,prod_10,prod_11,prod_12,prod_13,prod_14,prod_15
0,la8enspmsjmjm3mtnks,2020-01-08 22:50:29.272764444,1,01-2020,01-2020,0.0,0.0,12.382452744335959,34.44766900041082,24.720218961512074,45.143137305815664,0.0,0.0,-272.00523911775423,0.0,-63.883390511670086,-91.84503497692972,0,0,0,0.0
1,la8enspmjzw9gwlzh8q,2020-01-09 07:08:55.437592745,1,01-2020,01-2020,25.094403198167182,41.42466419590466,46.04109809440698,46.25505412019146,0.0,0.0,0.0,43.026048915640004,-154.06987702214536,0.0,428.926046765673,-291.53477294897726,0,0,0,0.0
2,la8enspm395of281dc8,2020-01-09 05:18:21.570819139,1,01-2020,01-2020,0.0,0.0,12.952449932047294,21.635325676766627,0.0,0.0,46.12766556073476,33.73258439916378,0.0,48.869671204408974,0.0,-186.29891618399657,0,0,0,0.0
3,la8enspmqwjb0bupqaf,2020-01-09 05:10:25.107415915,1,01-2020,01-2020,0.0,18.65683591890316,20.19347810343197,0.0,0.0,0.0,49.99516721033027,0.0,98.04580215517524,41.280379894533816,138.88417167148555,494.71140493900396,0,0,0,0.0
4,la8enspmr3909ma07tj,2020-01-09 01:25:00.460614443,1,01-2020,01-2020,0.0,24.25881011450326,32.458601313754954,0.0,0.0,12.50732392283287,29.337512914115315,9.65111697878439,53.84804980663131,366.37037058106705,361.15456700757363,-150.02005144577896,0,0,0,0.0
5,la8enspmk27w4ziiksq,2020-01-08 22:51:33.253618240,1,01-2020,01-2020,20.380142089286068,9.399928341801012,0.0,11.20612345931754,0.0,0.0,0.0,0.0,43.40681588305111,172.48146728572385,0.0,61.063645386370695,0,0,0,0.0
6,la8enspmht6trfhfz1,2020-01-09 09:02:13.143055439,1,01-2020,01-2020,0.0,33.417994875320446,0.0,0.0,0.0,1.2253998554023648,0.0,0.0,-145.16194510888158,404.479005360619,321.8218909546637,0.0,0,0,0,0.0
7,la8enspmsz3k9a2duwk,2020-01-09 02:06:43.950170755,1,01-2020,01-2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309.0195092404506,13.734613327026358,117.8854773074155,0.0,0,0,0,0.0
8,la8enspme9gqj0r1tep,2020-01-09 03:49:42.287336588,1,01-2020,01-2020,16.36638589952796,0.0,17.975346411804694,13.45406234508303,8.411851125257108,12.504333658476286,0.0,0.0,0.0,13.569322987832177,-21.467775664810972,0.0,0,0,0,0.0
9,la8enspmpqogpsn6me,2020-01-09 03:43:42.738532543,1,01-2020,01-2020,26.720608712062454,0.0,0.0,0.0,12.40519731677695,0.0,0.0,15.199504436261835,26.00326364593526,-134.8052883861557,0.0,0.0,0,0,0,0.0
10,la8enspm21zjwgb7zq5h,2020-01-09 01:58:31.702960730,1,01-2020,01-2020,0.0,0.0,44.73049066163619,0.0,28.891206410456093,41.17480173863319,0.0,21.84457712542519,5.238424988950463,27.06004110576715,0.0,-269.99126974714517,0,0,0,0.0
11,la8enspmhc8ekcaucuk,2020-01-09 08:47:39.123264074,1,01-2020,01-2020,8.858737886451395,24.194801768554886,0.0,0.0,27.773018294297902,0.0,0.0,17.703216680535416,0.0,144.28314780519872,489.969493900359,-294.0047530749686,0,0,0,0.0
12,la8enspmix8ewpglno,2020-01-09 03:16:01.498894691,1,01-2020,01-2020,0.0,0.0,0.0,10.505132116213057,0.0,1.0952086858006305,8.491951879640025,25.665245425668214,0.0,46.47457582910698,-169.91815053295306,113.90077355570475,0,0,0,0.0
13,la8enspmafvf2ikurin,2020-01-09 07:08:28.371919632,1,01-2020,01-2020,0.0,0.0,0.0,0.0,6.535154842997537,0.0,0.0,0.0,219.02169712804704,0.0,235.24550015594747,0.0,0,0,0,0.0
14,la8enspmuhvfk51xxc,2020-01-09 06:08:38.951994419,1,01-2020,01-2020,29.960927240828607,12.4506106205306,0.0,0.0,12.249290465444062,16.602470532331694,0.0,0.0,-186.1784802157639,440.0253583814427,106.05007354603612,53.199977657167096,0,0,0,0.0
15,la8enspmklfla2n41za,2020-01-09 00:07:11.417999744,1,01-2020,01-2020,4.505600252986608,0.0,47.71613146226511,0.0,36.16107346638747,44.62991401092206,18.59337496605654,0.0,327.71997594380156,0.0,0.0,0.0,0,0,0,0.0
16,la8enspm8s2i0n2qxri,2020-01-08 22:43:18.908153772,1,01-2020,01-2020,0.0,24.462531514580334,0.0,0.0,13.709281971602561,17.28077113854808,0.0,15.027254778378884,-189.22240705686804,435.5002838276983,-164.32500077687385,443.11077418281997,0,0,0,0.0
17,la8enspm6w2nawkb253,2020-01-08 19:17:16.404015303,1,01-2020,01-2020,4.799343168375292,2.875318760388035,1.844967085332505,0.0,48.89781162839159,0.0,0.0,22.70433850920407,36.73341757785351,-83.7694672693209,-65.50511292583434,-119.83117640009485,0,0,0,0.0
18,la8enspmjv9swtyxwu,2020-01-09 11:05:00.241134644,1,01-2020,01-2020,0.0,0.0,0.0,0.0,0.0,33.36689617929803,0.0,0.0,1.0333451963438822,436.4582275207716,0.0,288.1020063250284,0,0,0,0.0
19,la8enspm4ov6wm3jjg,2020-01-09 02:20:19.979276657,1,01-2020,01-2020,49.89296691983862,42.55365886243674,22.354010421878414,0.0,4.963933938707211,0.0,0.0,0.0,0.0,-215.2464837351673,0.0,0.0,0,0,0,0.0
