id,date,n_week,week_year,month_year,prod_0,prod_1,prod_2,prod_3,prod_4,prod_5,prod_6,prod_7,prod_8,prod_9,prod_10,prod_11,prod_12,prod_13,prod_14,prod_15
lahp5uvryqnlafezm0k,2020-01-08 21:38:36.979887360,1,2020-01,2020-01,0.0,39.25090634011852,0.0,0.0,22.02517914217974,0.0,35.27696849625164,35.01817678305718,38.83260109200975,-225.9310746854144,85.80700437456352,0.0,0.0,0.0,0.0,0.0
lahp5uvrt6fwe2a706,2020-01-09 10:50:08.194273792,1,2020-01,2020-01,10.454408690932116,0.0,24.68330200783437,34.49102626607512,41.63704591965145,41.440106280334064,0.6444792125300691,0.0,0.0,184.24023595538108,-43.71394026556618,175.4857115008159,0.0,0.0,0.0,0.0
lahp5uvrw4pz4oescxp,2020-01-08 20:22:27.447874304,1,2020-01,2020-01,0.0,29.56088865718732,41.12855462355158,0.0,48.12501238609246,0.0889943293004624,0.0,20.71428404312354,0.0,0.0,435.2057909885632,0.0,0.0,0.0,0.0,0.0
lahp5uvsyxgu3m3mf9l,2020-01-09 07:07:56.845761536,1,2020-01,2020-01,0.0,4.890655746669381,33.53571844366752,0.0,38.44427084232503,0.0,6.325173045988153,0.0,36.045678524218005,196.49113210490987,138.11508041493136,330.8068074310469,0.0,0.0,0.0,0.0
lahp5uvs5dkr3w1etm2,2020-01-08 23:36:00.899394560,1,2020-01,2020-01,0.0,0.0,0.0,0.0,0.0,19.305512675240767,0.0,0.0,0.0,327.7379116821057,214.75202126827304,21.79974588836967,0.0,0.0,0.0,0.0
lahp5uvsj3hnfh1b7e,2020-01-09 07:39:03.563179520,1,2020-01,2020-01,34.52465071694919,0.0,0.0,9.420119704926378,0.0,13.31769739142199,45.13390434214723,33.72758273111609,21.97273266360994,-201.080683531703,0.0,0.0,0.0,0.0,0.0,0.0
lahp5uvswfvuq5jkg4q,2020-01-09 08:16:35.326184448,1,2020-01,2020-01,0.0,10.462384343971909,17.392953935528553,40.15344255530287,0.0,45.22775689066116,0.0,5.722367264786765,0.0,347.00494814604275,428.86043445826107,0.0,0.0,0.0,0.0,0.0
lahp5uvs70azmg5doym,2020-01-09 02:00:43.292154368,1,2020-01,2020-01,7.23310983852704,29.43278265449446,0.0,4.056863802798816,0.0,16.030494395562876,0.0,0.0,0.0,1.0808175685375545,-117.01568077982684,59.80447077148955,0.0,0.0,0.0,0.0
lahp5uvs2i36vna2l26,2020-01-08 21:02:41.861683968,1,2020-01,2020-01,0.0,33.90427302386526,0.0,0.0,0.0,0.0,0.0,41.73261575007125,-32.35592278326544,459.2779448247946,344.94019718103755,0.0,0.0,0.0,0.0,0.0
lahp5uvsv13p8snzxee,2020-01-09 03:26:52.428000000,1,2020-01,2020-01,32.84518510189026,0.0,0.0,11.963414864163704,18.60544720498845,0.0,36.71464618918303,0.0,-205.46322315592104,24.967168106591,0.0,-118.33515017940032,0.0,0.0,0.0,0.0
lahp6bdlbjlcgly3imt,2020-01-15 22:45:08.213430272,2,2020-02,2020-01,0.0,6.475338814085485,0.0,6.401817038965618,0.0,11.814361328404932,0.0,0.0,460.28866403696816,0.0,409.5637144759744,0.0,0.0,0.0,0.0,0.0
